Timestamp,MovingTarget_X,MovingTarget_Y,EyeTracker_X,EyeTracker_Y
172843396533472,520,450,539.625096,477.684
172843396537669,520,450,539.8379568,477.840474
172843396541802,520,450,539.895744,478.154934
172843396546027,520,450,540.27864,478.370205
172843396550128,520,450,541.9832832,479.67830999999995
172843396554249,520,450,542.423304,478.53872999999993
172843396558414,520,450,542.7879552,478.71522
172843396562643,520,450,542.3890607999999,478.162764
172843396566753,520,450,542.1690288,478.03572
172843396570904,520,450,541.8289728,478.526526
172843396575120,520,450,541.6566192,479.27781000000004
172843396579226,520,450,541.1898288,479.40044400000005
172843396583359,520,450,540.575712,481.865607
172843396587550,1020,450,539.9342496,482.02559999999994
172843396591605,1020,450,539.456256,482.56857
172843396595903,1020,450,539.6031360000001,480.89853
172843396600139,1020,450,539.55864,479.63268
172843396604269,1020,450,538.9506719999999,479.92176
172843396608368,1020,450,538.9773696,480.18149999999997
172843396612526,1020,450,538.8923088,479.50452
172843396616684,1020,450,550.6161408,479.530584
172843396629195,1020,450,811.9008,544.673664
172843396633337,1020,450,904.0371264,519.527043
172843396637492,1020,450,1004.370552,468.65844
172843396641652,1020,450,1025.9732736,460.936656
172843396645794,1020,450,1040.0722560000002,454.57971299999997
172843396649998,1020,450,1053.0108864,451.28619
172843396654102,1020,450,1057.162032,451.33281
172843396658267,1020,450,1060.2268416,450.04002299999996
172843396662399,1020,450,1056.147984,449.04974400000003
172843396666548,1020,450,1052.8653167999998,448.741404
172843396670630,1020,450,1049.3711424,452.15882999999997
172843396674762,1020,450,1048.2811199999999,453.66021
172843396679028,1020,450,1046.956392,454.560453
172843396683202,1020,450,1044.70272,456.53544
172843396687392,1020,450,1044.2961504,456.76493999999997
172843396691569,1020,450,1043.7647040000002,457.22511
172843396695800,1020,450,1043.91144,457.39763999999997
172843396699922,1020,450,1043.247744,458.321823
172843396704080,1020,450,1042.7149439999998,459.76995
172843396708419,1020,450,1043.058096,460.553634
172843396712617,1020,450,1043.586144,461.04533999999995
172843396716826,1020,450,1043.3465999999999,461.574216
172843396721032,1020,450,1043.8187616,462.18348000000003
172843396725095,1020,450,1045.368,462.52386
172843396729220,1020,450,1046.075328,463.34736000000004
172843396733347,1020,450,1046.3126399999999,463.05279
172843396737468,1020,450,1047.5564256,462.91891499999997
172843396741647,1020,450,1047.8071439999999,464.56316999999996
172843396745801,1020,450,1048.393152,465.809904
172843396750014,1020,450,1048.9569119999999,466.94952
172843396754167,1020,450,1048.9199039999999,466.80263999999994
172843396758302,1020,450,1048.95576,466.58785499999993
172843396762419,1020,450,1048.459968,466.65261
172843396766629,1020,450,1048.433904,467.25489000000005
172843396770757,1020,450,1048.0706352,468.58815
172843396774868,1020,450,1048.3121664,469.50120000000004
172843396779090,1020,450,1048.216176,470.47301999999996
172843396783302,1020,450,1047.914208,470.61027
172843396787451,1020,450,1047.7040544,472.45383000000004
172843396791624,1020,450,1047.2721119999999,474.19119000000006
172843396795757,1020,450,1047.4765200000002,473.90234399999997
172843396800029,1020,450,1047.803904,474.17764500000004
172843396804207,1020,450,1048.340232,474.73983000000004
172843396808319,1020,450,1048.4904384,475.86207599999994
172843396812530,1020,450,1048.392864,476.17267499999997
172843396816703,1020,450,1048.224816,476.17109999999997
172843396820850,1020,450,1048.2055632,476.12322
172843396824929,1020,450,1047.768336,476.094195
172843396829152,1020,450,1047.825504,475.97922000000005
172843396833288,1020,450,1047.770928,475.80918299999996
172843396837436,1020,450,1047.701736,475.31573999999995
172843396841563,1020,450,1047.5910144,474.702183
172843396845743,1020,450,1047.4106832,475.11783
172843396849816,1020,450,1047.3615360000001,475.69599000000005
172843396853964,1020,450,1047.085632,476.04312
172843396858044,1020,450,1046.814912,476.287956
172843396862186,1020,450,1046.7604800000001,476.60814000000005
172843396866337,1020,450,1046.900016,477.74511
172843396870416,1020,450,1046.4209712,478.063575
172843396874593,1020,450,1046.523312,478.17927000000003
172843396878774,1020,450,1046.7999360000001,478.90251
172843396882940,1020,450,1047.185856,478.43141399999996
172843396887146,1020,450,1047.257856,478.32606
172843396891283,1020,450,1048.0416480000001,478.11294
172843396895439,1020,450,1048.1696064,477.989496
172843396899589,1020,450,1048.374144,477.92726999999996
172843396903790,1020,450,1048.920192,478.04949
172843396908039,1020,450,1049.0231088,478.29852
172843396912217,1020,450,1049.3316,477.31689
172843396916393,1020,450,1049.137344,476.955234
172843396920485,1020,450,1049.2092719999998,476.44712999999996
